,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,In the last 24 hours,In the last 24 hours,In the last 24 hours,In the last 24 hours,Notes,Days since first confirmed cases
,Date,Total tested,Total cases,Total deaths,Total recovered,Newly tested,New cases,New deaths,Newly recovered,Notes,Days since first confirmed cases
0,2020-03-08,111[5],3,0,0,,,0,,,0
1,2020-03-11,142[6],3,0,2,,,0,,,3
2,2020-03-12,163[7],3,0,2,,,0,,,4
3,2020-03-13,187[8],3,0,2,,,0,,,5
4,2020-03-14,211[9],5,0,3,,,0,,,6
5,2020-03-15,231[10],5,0,3,,,0,,,7
6,2020-03-16,241[11],8,0,3,,,0,0.0,,8
7,2020-03-17,277[12],10,0,3,,,0,0.0,,9
8,2020-03-18,351[13],14,1,3,10,4.0,1,1.0,Three males were returnees from Italy and Kuwait while the female was a family member of a foreign returnee,10
9,2020-03-19,397,17,1,3,46,3.0,0,0.0,Two male cases are returnees from Italy and the female is a family member,11
10,2020-03-20,433,20,1,3,36,3.0,0,0.0,,12
11,2020-03-21,433* (Check Note),24,2,3,36* (Check note),4.0,1,2.0,First death from community transmission[14] *Government press releases from both 2020-3-20 and 2020-3-21 state that 'total number of individuals tested for COVID-19 till date' is 433 and 'number tested in last 24 hours' is 36. These are likely errors.,13
12,2020-03-22,564,27,2,5,27,3.0,0,0.0,New cases include a doctor who treated the patient who died on 20 March.[15],14
13,2020-03-23,620,33,3,5,56,6.0,1,0.0,"New cases characteristics: 3 males, 3 females; 23 healthcare workers, and two returnees from India and Bahrain. New death caused by community transmission.",15
14,2020-03-24,712,39,4,5,92,6.0,1,0.0,New positives include returnee from Saudi Arabia and 4 locals with epidemiological link. The death of the female was related to community transmission,16
15,2020-03-25,794,39,5,5,82,0.0,1,6.0,,17
16,2020-03-26,920,44,5,11,126,5.0,0,0.0,,18
17,2020-03-27,1026,48,5,11,106,4.0,0,0.0,,19
18,2020-03-28,1076,48,5,15,47,0.0,0,4.0,,20
19,2020-03-29[16],"1,185[17]",48,5,15,109,0.0,0,4.0,,21
20,2020-03-30[18],"1,338[19]",49,5,19,153,1.0,0,4.0,,22
21,2020-03-31[20],"1,602[21]",51,5,25,140,2.0,0,6.0,,23
22,2020-04-01[22],"1,759[23]",54,6,26,157,1.0,1,1.0,,24
23,2020-04-02[24],"1,906[25]",56,6,26,141,2.0,0,0.0,,25
24,2020-04-03[26],"2,113[27]",61,6,26,203,5.0,0,0.0,,26
25,2020-04-04[28],"2,547[29]",70,8,30,434,9.0,2,4.0,,27
26,2020-04-05[30],"2,914[31]",88,9,33,367,18.0,1,3.0,,28
27,2020-04-06[32],"3,610[33]",164,17,33,468,41.0,5,0.0,,29
28,2020-04-07[28],"4,289[34]",164,17,33,792,41.0,5,0.0,,30
29,2020-04-08[35],"5,194[36]",218,20,33,981,54.0,3,0.0,,31
30,2020-04-09[37],"6,175[38]",330,21,33,905,112.0,1,0.0,,32
31,2020-04-10[37],"7,359[39]",424,27,33,1184,94.0,6,0.0,,33
32,2020-04-11[40],8313,482,30,36,954,58.0,3,3.0,,34
33,2020-04-12[41],"9,653[42]",621,34,39,1340,139.0,4,3.0,,35
