Name,Abbr.,Status,Native,Adm.,Area,Population_1991,Population_2001,Population_2011,Population_2016
Barguna,BRG,Dist,?????? ????,BSD,1831,775693,848554,892781,969000
Barisal,BRS,Dist,?????? ????,BSD,2785,2207426,2355967,2324310,2583000
Bhola,BHO,Dist,???? ????,BSD,3403,1476328,1703117,1776795,1941000
Jhalakati,JHA,Dist,??????? ????,BSD,749,666139,694231,682669,741000
Patuakhali,PAT,Dist,?????????? ????,BSD,3221,1273872,1460781,1535854,1703000
Pirojpur,PIR,Dist,???????? ????,BSD,1308,1063185,1111068,1113257,1208000
Bandarban,BAN,Dist,????????? ????,CHD,4479,230569,298120,388335,434000
Brahmanbaria,BBA,Dist,???????????????? ????,CHD,1927,2141745,2398254,2840498,3255000
Chandpur,CHA,Dist,??????? ????,CHD,1704,2032449,2271229,2416018,2707000
Chittagong,CHI,Dist,????????? ????,CHD,5283,5296127,6612140,7616352,8440000
Comilla,COM,Dist,???????? ????,CHD,3085,4032666,4595557,5387288,6046000
Cox's Bazar,COX,Dist,????????? ????,CHD,2492,1419260,1773709,2289990,2655000
Feni,FEN,Dist,???? ????,CHD,928,1096745,1240384,1437371,1619000
Khagrachhari,KHA,Dist,?????????? ????,CHD,2700,342488,525664,613917,685000
Lakshmipur,LAK,Dist,?????????? ????,CHD,1456,1312337,1489901,1729188,1995000
Noakhali,NOA,Dist,????????? ????,CHD,3601,2217134,2577244,3108083,3491000
Rangamati,RGM,Dist,?????????? ????,CHD,6116,401388,508182,595979,653000
Dhaka,DHA,Dist,???? ????,DHD,1464,5839642,8511228,12043977,13142000
Faridpur,FAR,Dist,??????? ????,DHD,2073,1505686,1756470,1912969,2088000
Gazipur,GAZ,Dist,??????? ????,DHD,1800,1621562,2031891,3403912,3809000
Gopalganj,GOP,Dist,????????? ????,DHD,1490,1060791,1165273,1172415,1277000
Kishoreganj,KIS,Dist,????????? ????,DHD,2689,2306087,2594954,2911907,3311000
Madaripur,MAD,Dist,????????? ????,DHD,1145,1069176,1146349,1165952,1295000
Manikganj,MAN,Dist,????????? ????,DHD,1379,1175909,1285080,1392867,1542000
Munshiganj,MUN,Dist,?????????? ????,DHD,955,1188387,1293972,1445660,1583000
Narayanganj,NYG,Dist,??????????? ????,DHD,700,1754804,2173948,2948217,3284000
Narsingdi,NSD,Dist,??????? ????,DHD,1141,1652123,1895984,2224944,2489000
Rajbari,RJB,Dist,???????? ????,DHD,1119,835173,951906,1049778,1144000
Shariatpur,SHA,Dist,????????? ????,DHD,1182,953021,1082300,1155824,1284000
Tangail,TAN,Dist,???????? ????,DHD,3414,3002428,3290696,3605083,3923000
Jamalpur,JAM,Dist,???????? ????,MSD,2032,1874440,2107209,2292674,2541000
Mymensingh,MYM,Dist,????????? ????,MSD,4363,3957182,4489726,5110272,5807000
Netrakona,NET,Dist,????????? ????,MSD,2810,1730935,1988188,2229642,2516000
Sherpur,SHE,Dist,?????? ????,MSD,1364,1138629,1279542,1358325,1504000
Bagerhat,BAG,Dist,???????? ????,KHD,3959,1431332,1549031,1476090,1601000
Chuadanga,CHU,Dist,??????????? ????,KHD,1177,807164,1007130,1129015,1237000
Jessore,JES,Dist,???? ????,KHD,2567,2106996,2471554,2764547,3029000
Jhenaidah,JHE,Dist,??????? ????,KHD,1961,1361280,1579490,1771304,1976000
Khulna,KHU,Dist,????? ????,KHD,4394,2010643,2378971,2318527,2528000
Kushtia,KUS,Dist,????????? ????,KHD,1601,1502126,1740155,1946838,2170000
Magura,MAG,Dist,?????? ????,KHD,1049,724027,824311,918419,1020000
Meherpur,MEH,Dist,???????? ????,KHD,716,491917,591430,655392,716000
Narail,NRA,Dist,?????? ????,KHD,990,655720,698447,721668,801000
Satkhira,SAT,Dist,????????? ????,KHD,3858,1597178,1864704,1985959,2174000
Bogra,BOG,Dist,?????? ????,RSD,2920,2669287,3013056,3400874,3724000
Nawabganj,NAW,Dist,?????????????? ????,RSD,1703,1171469,1425322,1647521,1854000
Jaipurhat,JAI,Dist,????????? ????,RSD,965,765011,846696,913768,998000
Naogaon,NAO,Dist,????? ????,RSD,3436,2148053,2391355,2600157,2844000
Natore,NAT,Dist,????? ????,RSD,1896,1387761,1521336,1706673,1866000
Pabna,PAB,Dist,????? ????,RSD,2372,1919896,2176270,2523179,2818000
Rajshahi,RJS,Dist,??????? ????,RSD,2407,1887015,2286874,2595197,2853000
Sirajganj,SIR,Dist,????????? ????,RSD,2498,2263573,2693814,3097489,3455000
Dinajpur,DIN,Dist,???????? ????,RPD,3438,2260131,2642850,2990128,3268000
Gaibandha,GAI,Dist,????????? ????,RPD,2179,1949274,2138181,2379255,2718000
Kurigram,KUR,Dist,?????????? ????,RPD,2296,1603034,1792073,2069273,2301000
Lalmonirhat,LAL,Dist,?????????? ????,RPD,1241,953460,1109343,1256099,1398000
Nilphamari,NIL,Dist,????????? ????,RPD,1580,1348762,1571690,1834231,2049000
Panchagarh,PAN,Dist,??????? ????,RPD,1405,712024,836196,987644,1104000
Rangpur,RGP,Dist,????? ????,RPD,2368,2160346,2542441,2881086,3211000
Thakurgaon,THA,Dist,????????? ????,RPD,1810,1010948,1214376,1390042,1553000
Habiganj,HAB,Dist,??????? ????,SHD,2637,1526609,1757665,2089001,2386000
Moulvibazar,MAU,Dist,?????????? ????,SHD,2799,1376566,1612374,1919062,2148000
Sunamganj,SUN,Dist,????????? ????,SHD,3670,1708563,2013738,2467968,2800000
Sylhet,SYL,Dist,????? ????,SHD,3490,2153301,2555566,3434188,3957000
