,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,01 November 2020,02 November 2020,03 November 2020,04 November 2020,05 November 2020,06 November 2020,07 November 2020,08 November 2020,09 November 2020,10 November 2020,11 November 2020,12 November 2020,13 November 2020,14 November 2020,15 November 2020,16 November 2020,17 November 2020,18 November 2020,19 November 2020,20 November 2020,21 November 2020,22 November 2020,23 November 2020,24 November 2020,25 November 2020,26 November 2020,27 November 2020,28 November 2020,29 November 2020,30 November 2020,01 December 2020,02 December 2020,03 December 2020,04 December 2020,05 December 2020,06 December 2020,07 December 2020,08 December 2020,09 December,10 December 2020,11 December 2020,12 December 2020,13 December 2020,14 December 2020,15 December 2020,16 December 2020,17 December 2020,18 December 2020,19 December 2020,20 December 2020,21 December 2020,22 December 2020,23 December 2020,24 December 2020,25 December 2020,26 December 2020,27 December 2020,28 December 2020,29 December 2020,30 December 2020,31 December 2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,Dhaka,Dhaka City,147015,200819,8.12.2020,,628,811,725,726,841,697,554,643,706,732,730,696,746,628,740,885,869,898,939,807,718,780,1065,755,869,920,865,732,722,959,979,859,909,961,674,770,807,842,799,,,,,,,,,,,,,,,,,,,,,,
3,3.0,Dhaka,Dhaka (District),6124,200819,09.12.2020,,5,27,15,10,8,14,20,15,17,29,26,10,24,4,16,4,9,15,18,24,15,20,10,7,21,14,19,20,4,24,12,26,23,29,13,8,12,10,10,,,,,,,,,,,,,,,,,,,,,,
4,4.0,Dhaka,Gazipur,6588,200819,09.12.2020,,4,12,2,30,33,18,19,2,26,16,11,15,16,8,6,15,18,25,25,23,30,14,41,25,55,24,10,67,10,32,37,39,29,25,15,5,31,27,27,,,,,,,,,,,,,,,,,,,,,,
5,5.0,Dhaka,Kishoreganj,3308,200819,09.12.2020,,19,9,6,11,6,4,14,8,6,5,13,11,9,5,5,18,7,5,6,3,13,5,12,7,2,10,8,11,2,7,4,9,6,4,3,2,7,6,4,,,,,,,,,,,,,,,,,,,,,,
6,6.0,Dhaka,Madaripur,1583,200819,09.12.2020,,2,0,0,0,0,3,0,4,1,0,0,0,0,0,13,0,8,3,0,0,10,0,2,0,0,0,7,7,2,0,0,0,7,0,1,10,4,2,2,,,,,,,,,,,,,,,,,,,,,,
7,7.0,Dhaka,Manikganj,1688,200819,09.12.2020,,0,0,7,4,5,1,0,0,0,3,1,0,1,0,0,1,5,3,4,0,0,3,3,1,5,0,4,0,1,3,7,12,2,10,0,4,7,10,7,,,,,,,,,,,,,,,,,,,,,,
8,8.0,Dhaka,Narayanganj,8135,200819,09.12.2020,,18,18,14,12,8,17,14,13,18,28,15,18,20,23,19,16,34,48,31,21,18,36,25,34,31,30,29,16,19,35,33,54,38,28,18,33,35,35,41,,,,,,,,,,,,,,,,,,,,,,
9,9.0,Dhaka,Munshigonj,4166,200819,09.12.2020,,21,0,11,4,24,5,0,18,0,10,10,14,0,17,2,0,8,3,40,8,11,26,0,11,1,0,37,19,0,2,41,14,8,20,14,13,7,13,34,,,,,,,,,,,,,,,,,,,,,,
10,10.0,Dhaka,Narshingdi,2680,200819,09.12.2020,,4,2,9,4,3,4,6,2,5,10,5,6,7,5,5,5,4,9,13,3,4,2,11,5,9,8,6,4,4,4,6,11,3,1,8,2,11,1,7,,,,,,,,,,,,,,,,,,,,,,
11,11.0,Dhaka,Rajbari,3331,200819,09.12.2020,,5,0,0,5,0,5,0,0,10,1,0,8,0,0,4,6,0,3,0,13,0,11,0,12,0,12,0,10,0,8,0,7,0,22,0,0,10,6,0,,,,,,,,,,,,,,,,,,,,,,
12,12.0,Dhaka,Faridpur,7906,200819,09.12.2020,,3,18,13,14,41,15,14,0,11,12,14,12,7,6,4,15,16,5,11,8,15,4,11,8,8,21,13,14,1,14,15,10,9,20,20,3,16,16,19,,,,,,,,,,,,,,,,,,,,,,
